"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"09.05.2025","295,13","295,13","295,13","295,13","","1,07%"
"08.05.2025","292,01","292,01","292,02","292,01","","0,78%"
"07.05.2025","289,76","289,76","289,76","289,76","","-0,85%"
"06.05.2025","292,23","292,23","292,23","292,23","","1,35%"
"05.05.2025","288,35","288,35","288,35","288,35","","-0,67%"
"02.05.2025","290,30","290,30","290,30","290,30","","0,28%"
"01.05.2025","289,49","289,49","289,49","289,49","","0,25%"
"30.04.2025","288,77","288,77","288,77","288,77","","-1,85%"
"29.04.2025","294,23","294,23","294,23","294,23","","-1,23%"
"28.04.2025","297,88","297,88","297,88","297,88","","-0,19%"
"25.04.2025","298,46","298,46","298,46","298,46","","0,21%"
"24.04.2025","297,83","297,83","297,83","297,83","","0,75%"
"23.04.2025","295,62","295,62","295,62","295,62","","-0,57%"
"22.04.2025","297,30","297,30","297,30","297,30","","1,33%"
"21.04.2025","293,41","293,41","293,41","293,41","","-1,00%"
"17.04.2025","296,38","296,38","296,38","296,38","","1,26%"
"16.04.2025","292,70","292,70","292,70","292,70","","1,18%"
"15.04.2025","289,30","289,30","289,30","289,30","","-0,17%"
"14.04.2025","289,78","289,78","289,78","289,78","","-0,22%"
"11.04.2025","290,42","290,42","290,42","290,42","","1,86%"
"10.04.2025","285,13","285,13","285,13","285,13","","-1,01%"
"09.04.2025","288,05","288,05","288,05","288,05","","2,95%"
"08.04.2025","279,79","279,79","279,79","279,79","","-1,13%"
"07.04.2025","282,99","282,99","282,99","282,99","","-1,90%"
"04.04.2025","288,46","288,46","288,46","288,46","","-4,97%"
"03.04.2025","303,55","303,55","303,55","303,55","","-3,19%"
"02.04.2025","313,56","313,56","313,56","313,56","","0,89%"
"01.04.2025","310,78","310,78","310,78","310,78","","0,48%"
"31.03.2025","309,30","309,30","309,30","309,30","","0,79%"
"28.03.2025","306,87","306,87","306,87","306,87","","-0,06%"
"27.03.2025","307,05","307,05","307,05","307,05","","-0,01%"
"26.03.2025","307,09","307,09","307,09","307,09","","0,19%"
"25.03.2025","306,51","306,51","306,51","306,51","","0,04%"
"24.03.2025","306,38","306,38","306,38","306,38","","0,20%"
"21.03.2025","305,77","305,77","305,77","305,77","","-0,53%"
"20.03.2025","307,41","307,41","307,41","307,41","","0,36%"
"19.03.2025","306,31","306,31","306,31","306,31","","0,74%"
"18.03.2025","304,08","304,08","304,08","304,08","","-0,19%"
"17.03.2025","304,65","304,65","304,65","304,65","","0,65%"
"14.03.2025","302,67","302,67","302,67","302,67","","-0,11%"
"13.03.2025","303,01","303,01","303,01","303,01","","-0,25%"
"12.03.2025","303,77","303,77","303,77","303,77","","0,27%"
"11.03.2025","302,95","302,95","302,95","302,95","","0,21%"
"10.03.2025","302,32","302,32","302,32","302,32","","-0,24%"
"07.03.2025","303,04","303,04","303,04","303,04","","0,65%"
"06.03.2025","301,07","301,07","301,07","301,07","","-0,13%"
"05.03.2025","301,47","301,47","301,47","301,47","","0,08%"
"04.03.2025","301,24","301,24","301,24","301,24","","0,32%"
"03.03.2025","300,28","300,28","300,28","300,28","","-0,51%"
"28.02.2025","301,83","301,83","301,83","301,83","","-1,37%"
"27.02.2025","306,03","306,03","306,03","306,03","","0,28%"
"26.02.2025","305,18","305,18","305,18","305,18","","-0,43%"
"25.02.2025","306,50","306,50","306,50","306,50","","-0,63%"
"24.02.2025","308,45","308,45","308,45","308,45","","-0,89%"
"21.02.2025","311,22","311,22","311,22","311,22","","-1,69%"
"20.02.2025","316,58","316,58","316,58","316,58","","-0,02%"
"19.02.2025","316,63","316,63","316,63","316,63","","0,35%"
"18.02.2025","315,53","315,53","315,53","315,53","","1,11%"
"14.02.2025","312,08","312,08","312,08","312,08","","-0,36%"
"13.02.2025","313,19","313,19","313,19","313,19","","0,52%"
"12.02.2025","311,58","311,58","311,58","311,58","","-0,59%"
"11.02.2025","313,43","313,43","313,43","313,43","","0,46%"
"10.02.2025","312,01","312,01","312,01","312,01","","1,46%"
"07.02.2025","307,51","307,51","307,51","307,51","","0,02%"
"06.02.2025","307,46","307,46","307,46","307,46","","-0,17%"
"05.02.2025","307,98","307,98","307,98","307,98","","-0,43%"
"04.02.2025","309,30","309,30","309,30","309,30","","0,13%"
"03.02.2025","308,91","308,91","308,91","308,91","","1,30%"
"31.01.2025","304,95","304,95","304,95","304,95","","-0,47%"
"30.01.2025","306,39","306,39","306,39","306,39","","-0,39%"
"29.01.2025","307,59","307,59","307,59","307,59","","0,44%"
